MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Third Front,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",65,22,0,263,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,2.5
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,UPA,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,18,0,184,0.55," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,1.82
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,NDA,Male,Graduate,M.Com (2nd Year Appearing),50,52,10,457,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,4.23
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,UPA,Male,Graduate,B.A.; Educated at R.K.N.College,59,0,0,0,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.12
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,UPA,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,21,0,357,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,75,2.38
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,UPA,Male,Graduate,,74,3,0,8,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.62
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,UPA,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,2,0,207,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,60,1.67
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,UPA,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,8,0,74,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,1.05
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,UPA,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",56,85,18,307,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,10,3.65
Ajay Kumar,Elected,01-Aug-11,In office,Jharkhand,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),Others,Male,Post Graduate,"MBBS, IPS",50,15,3,54,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,13.4,0.5,73,65%,75,2.12
Ajit Singh,Elected,18-May-09,In office,Uttar Pradesh,Baghpat,Rashtriya Lok Dal,UPA,Male,Post Graduate,"B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",73,2,0,0,0.44,"This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",20,0.4,160,77%,24.1,0.3,131,80%,75,1
Akhilesh Yadav,Elected,18-May-09,02-05-2012,Uttar Pradesh,Kannauj,Samajwadi Party,UPA,Male,Post Graduate,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",39,4,0,0,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.3,0.6,183,77%,28.4,0.4,151,80%,75,1
Amarnath Pradhan,Elected,18-May-09,In office,Orissa,Sambalpur,Indian National Congress,UPA,Male,Graduate,"B.A., Utkal University, Bhubaneswar, Orissa",54,16,0,113,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,2.18
Ambica Banerjee,Elected,18-May-09,In office,West Bengal,Howrah,All India Trinamool Congress,UPA,Male,Graduate,"Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",84,3,0,139,0.62,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.48
Anand Prakash Paranjpe,Elected,18-May-09,In office,Maharashtra,Kalyan,Shiv Sena,NDA,Male,Post Graduate,"B.E., M.B.A.; Educated at Pune University, Maharashtra",39,10,0,541,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,75,2.37
Anandrao Adsul,Elected,18-May-09,In office,Maharashtra,Amravati,Shiv Sena,NDA,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",65,29,3,886,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.12
Anant Gangaram Geete,Elected,18-May-09,In office,Maharashtra,Raigad,Shiv Sena,NDA,Male,Under Graduate,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",61,42,0,8,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,1.9
Anant Kumar Hegde,Elected,18-May-09,In office,Karnataka,Uttara Kannada,Bharatiya Janata Party,NDA,Male,Under Graduate,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",44,14,2,427,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,20,2.7
Ananth Kumar,Elected,18-May-09,In office,Karnataka,Bangalore South,Bharatiya Janata Party,NDA,Male,Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",53,14,0,152,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,60,2.62
Anantha Venkatarami Reddy,Elected,18-May-09,In office,Andhra Pradesh,Anantapur,Indian National Congress,UPA,Male,Post Graduate,"M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",56,12,0,472,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,75,2.87
Andimuthu Raja,Elected,18-May-09,In office,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,UPA,Male,Post Graduate,"B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",49,0,0,0,0.11,"This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",16.4,0.3,129,77%,20.5,0.2,163,73%,75,1
Anirudhan Sampath,Elected,18-May-09,In office,Kerala,Attingal,Communist Party of India (Marxist),Third Front,Male,Post Graduate,M.A. (Eco) L.L.M (Constt. Law),50,67,0,269,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,75,3.48
Annu Tandon,Elected,18-May-09,In office,Uttar Pradesh,Unnao,Indian National Congress,UPA,Female,Graduate,"B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",54,27,0,155,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,3.02
Anto Antony,Elected,18-May-09,In office,Kerala,Pathanamthitta,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",55,60,0,404,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,60,3.78
Anup Kumar Saha,Elected,18-May-09,In office,West Bengal,Bardhaman Purba,Communist Party of India (Marxist),Third Front,Male,Doctorate,"M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",56,17,0,65,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,90,2.52
Anurag Singh Thakur,Elected,18-May-09,In office,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,NDA,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",37,48,0,436,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,70,0.3,273,89%,60,3.33
Arjun Charan Sethi,Elected,18-May-09,In office,Orissa,Bhadrak,Biju Janata Dal,Third Front,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",70,47,0,189,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,75,3.35
Arjun Munda,Elected,18-May-09,26-02-2011,Jharkhand,Jamshedpur,Bharatiya Janata Party,NDA,Male,Graduate,"Graduate, Diploma in Social Science; Educated at IGNOU",44,3,0,152,0.43,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",13,0.3,108,77%,9.9,0.3,105,65%,60,1.42
Arjun Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Bikaner,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",58,323,16,487,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,75,4.87
Arjun Roy,Elected,18-May-09,In office,Bihar,Sitamarhi,Janata Dal (United),NDA,Male,Doctorate,"Ph.D; Educated at University of Bihar, Bihar",40,23,0,257,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,90,3.27
Arun Subhashchandra Yadav,Elected,18-May-09,In office,Madhya Pradesh,Khandwa,Indian National Congress,UPA,Male,Graduate,"B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",38,1,0,20,0.76,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,17.8,0.1,88,83%,60,1.37
Aruna Kumar Vundavalli,Elected,18-May-09,In office,Andhra Pradesh,Rajahmundry,Indian National Congress,UPA,Male,Graduate,"B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",58,15,0,33,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,2.5
Arvind Kumar Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Basti,Bahujan Samaj Party,UPA,Male,Under Graduate,,48,3,0,69,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,20,1.78
Arvind Kumar Sharma,Elected,18-May-09,In office,Haryana,Karnal,Indian National Congress,UPA,Male,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",48,13,0,67,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,75,1.88
Asaduddin Owaisi,Elected,18-May-09,In office,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,UPA,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",43,29,1,824,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,3.12
Ashok Argal,Elected,18-May-09,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,NDA,Male,Under Graduate,"Educated at Morena Board of Secondary Education, Madhya Pradesh",43,54,0,147,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,20,2.97
Ashok Kumar Rawat,Elected,18-May-09,In office,Uttar Pradesh,Misrikh,Bahujan Samaj Party,UPA,Male,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",36,23,0,592,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,3.07
Ashok Tanwar,Elected,18-May-09,In office,Haryana,Sirsa,Indian National Congress,UPA,Male,Post Graduate,"M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",36,2,0,136,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,75,2.12
Ashwamedh Devi,Elected,18-May-09,In office,Bihar,Ujiarpur,Janata Dal (United),NDA,Female,Under Matric,"Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",44,8,0,69,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,10,1.65
Asrarul Haque Mohammad,Elected,18-May-09,In office,Bihar,Kishanganj,Indian National Congress,UPA,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",70,16,0,49,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,75,2.38
Avtar Singh Bhadana,Elected,18-May-09,In office,Haryana,Faridabad,Indian National Congress,UPA,Male,Under Matric,,54,8,0,154,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,10,1.02
Awale Jaywant Gangaram,Elected,18-May-09,In office,Maharashtra,Latur,Indian National Congress,UPA,Male,Under Graduate,,72,42,0,262,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,3.13
Babu Lal Marandi,Elected,18-May-09,In office,Jharkhand,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),Others,Male,Graduate,"Educated at Ranchi University, Ranchi, Jharkhand",54,2,0,0,0.29," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,60,0.87
Badri Ram Jakhar,Elected,18-May-09,In office,Rajasthan,Pali,Indian National Congress,UPA,Male,Under Matric,,59,16,0,343,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,10,2.4
Badruddin Ajmal,Elected,18-May-09,In office,Assam,Dhubri,Assam United Democratic Front,UPA,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",62,22,0,196,0.52," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,75,1.95
Baidyanath Prasad Mahto,Elected,18-May-09,In office,Bihar,Valmiki Nagar,Janata Dal (United),NDA,Male,Under Graduate,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",65,20,0,228,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,20,2.55
Baijayant Jay Panda,Elected,18-May-09,In office,Orissa,Kendrapara,Biju Janata Dal,Third Front,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",48,12,9,699,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,2.93
Baju Ban Riyan,Elected,18-May-09,In office,Tripura,Tripura East,Communist Party of India (Marxist),Third Front,Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",71,6,0,0,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,18,0.5,100,79%,60,1.62
Bal Kumar Patel,Elected,18-May-09,In office,Uttar Pradesh,Mirzapur,Samajwadi Party,UPA,Male,Under Graduate,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",48,8,0,205,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,20,1.9
Baliram,Elected,18-May-09,In office,Uttar Pradesh,Lalganj,Bahujan Samaj Party,UPA,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",58,37,0,256,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,90,3.67
Baliram Kashyap,Elected,18-May-09,09-03-2011,Chhattisgarh,Bastar,Bharatiya Janata Party,NDA,Male,Under Matric,,76,0,0,0,0.01,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",14.3,0.3,114,77%,5,0,51,64%,10,0.47
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Gujarat,Vadodara,Bharatiya Janata Party,NDA,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",48,20,1,186,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,75,2.68
Bansagopal Chowdhury,Elected,18-May-09,In office,West Bengal,Asansol,Communist Party of India (Marxist),Third Front,Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",52,24,0,27,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.95
Bapiraju Kanumuri,Elected,18-May-09,In office,Andhra Pradesh,Narsapuram,Indian National Congress,UPA,Male,Under Graduate,Educated at Hyderabad Public School,65,7,0,0,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,20,1.6
Basori Singh Masram,Elected,18-May-09,In office,Madhya Pradesh,Mandla,Indian National Congress,UPA,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",66,1,0,10,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,10,1.22
Basudeb Acharia,Elected,18-May-09,In office,West Bengal,Bankura,Communist Party of India (Marxist),Third Front,Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",70,117,6,174,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,4.02
Beni Prasad Verma,Elected,18-May-09,In office,Uttar Pradesh,Gonda,Indian National Congress,UPA,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",71,2,0,0,0.99,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,77%,15.4,0.2,78,80%,60,2.12
Bhajan Lal,Elected,18-May-09,03-06-2011,Haryana,Hisar,Haryana Janhit Congress,Third Front,Male,Under Graduate,"Educated at Government College, Bahawal Nagar (Now in Pakistan) ",81,0,0,0,0.39," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,77%,3.9,0,63,69%,20,0.6
Bhakta Charan Das,Elected,18-May-09,In office,Orissa,Kalahandi,Indian National Congress,UPA,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",53,39,1,184,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,3.45
Bharat Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Ganganagar,Indian National Congress,UPA,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",56,13,0,150,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,60,2.62
Bhartruhari Mahtab,Elected,18-May-09,In office,Orissa,Cuttack,Biju Janata Dal,Third Front,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",54,182,0,231,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,75,3.55
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,NDA,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,15,0,257,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,2.3
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Uttar Pradesh,Sant Kabir Nagar,Bahujan Samaj Party,UPA,Male,Under Graduate,,51,33,0,352,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,20,2.88
Bhola Singh,Elected,18-May-09,In office,Bihar,Nawada,Bharatiya Janata Party,NDA,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",77,84,3,273,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,90,4.1
Bhoopendra Singh,Elected,18-May-09,In office,Madhya Pradesh,Sagar,Bharatiya Janata Party,NDA,Male,Graduate,L.L.B.; Educated at Sagar University (Madhya Pradesh) ,52,22,0,451,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,60,2.68
Bhudeo Choudhary,Elected,18-May-09,In office,Bihar,Jamui,Janata Dal (United),NDA,Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",52,25,0,293,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,60,3.2
Bibhu Prasad Tarai,Elected,18-May-09,In office,Orissa,Jagatsinghpur,Communist Party of India,Third Front,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",48,16,0,169,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,75,2.5
