MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
Vilas Baburao Muttemwar,Elected,18-May-09,In office,Maharashtra,Nagpur,Indian National Congress,UPA,Male,Graduate,"B. Com.; Educated at Nagpur University, Nagpur (Maharashtra) ",63,30,0,541,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.13
Vinay Kumar Pandey,Elected,18-May-09,In office,Uttar Pradesh,Shrawasti,Indian National Congress,UPA,Male,Doctorate,"Ph.D. (Paleobotany), M.Sc. (Botany), PG Diploma in Comupter Science, Advanced Ratna, Certificate Course in Processing adn Cultivation of Aromatic and Medical Plants; Educated at RML University Faizabad, Uttar Pradesh (MLK, PG College, Balrampur, Uttar Pra",48,36,0,190,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,90,3.23
Virender Kashyap,Elected,18-May-09,In office,Himachal Pradesh,Shimla,Bharatiya Janata Party,NDA,Male,Post Graduate,M.Sc. (Physics); Educated at Himachal Pradesh University,62,92,0,329,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,70,0.3,273,89%,75,3.73
Virendra Kumar,Elected,18-May-09,In office,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,NDA,Male,Doctorate,"M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh",58,145,0,160,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,90,3.68
Vishnu Deo Sai,Elected,18-May-09,In office,Chhattisgarh,Raigarh,Bharatiya Janata Party,NDA,Male,Under Graduate,"Higher Secondary; Educated at Loyola Higher Secondary School, Kunkuri, Jashpur, Chattisgarh",48,3,0,11,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,20,0.85
Vishwa Mohan Kumar,Elected,18-May-09,In office,Bihar,Supaul,Janata Dal (United),NDA,Male,Post Graduate,M.Sc.,54,48,0,339,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,75,3.28
Vitthalbhai Hansrajbhai Radadiya,Elected,18-May-09,In office,Gujarat,Porbandar,Indian National Congress,UPA,Male,Graduate,B.A.,53,1,0,168,0.27," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,60,1.42
Wakchaure Bhausaheb Rajaram,Elected,18-May-09,In office,Maharashtra,Shirdi,Shiv Sena,NDA,Male,Graduate,"B.Com., B.A., LL.B., D.L.L. & L.W., G.A.C. & A., D.E.D.; Educated at Pune University and Ahmednagar",62,18,4,587,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,2.9
Y. S. Jagan Mohan Reddy,Elected,13-May-11,In office,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Others,Male,Graduate,B.Com.,39,2,0,0,0.42," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.7,0.5,191,77%,12.9,0.2,229,70%,60,0.87
Yashbant Narayan Singh Laguri,Elected,18-May-09,In office,Orissa,Keonjhar,Biju Janata Dal,Third Front,Male,Graduate,"B.A.; Educated at C.S. College, Champua, Utakal University",41,23,0,525,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,2.68
Yashodhara Raje Scindia,Elected,18-May-09,In office,Madhya Pradesh,Gwalior,Bharatiya Janata Party,NDA,Female,Under Graduate,"Senior Cambridge; Educated at Scindia Kanya Vidyalay, Gwalior (M.P.), Presentation Convent, Kodaikanal, Tamil Nadu",58,22,0,153,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,20,2.3
Yashvir Singh,Elected,18-May-09,In office,Uttar Pradesh,Nagina,Samajwadi Party,UPA,Male,Graduate,"B.Tech. (Chemical Engg.) Ist; Educated at HBTI Kanpur, Uttar Pradesh",39,0,0,359,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,2.35
Yashwant Sinha,Elected,18-May-09,In office,Jharkhand,Hazaribagh,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.A.; Educated at Patna University, Bihar",74,31,0,78,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,75,2.97
